year_1,year_2,sigma_dist,2_sigma_dist,3_sigma_dist
1962.0,1962.0,537.4011537017761,1074.8023074035523,1612.2034611053284
1962.0,1963.0,411.5385765636072,823.0771531272144,1234.6157296908216
1962.0,1976.0,384.1041525419896,768.2083050839792,1152.3124576259688
1962.0,1978.0,388.7467041660932,777.4934083321864,1166.2401124982796
1963.0,1963.0,223.44574285494903,446.89148570989806,670.3372285648471
1963.0,1976.0,167.6305461424021,335.2610922848042,502.8916384272063
1963.0,1978.0,178.01123560045303,356.02247120090607,534.0337068013591
1976.0,1976.0,79.19595949289332,158.39191898578665,237.58787847867995
1976.0,1978.0,99.29753269845128,198.59506539690256,297.89259809535383
