year_1,year_2,sigma_dist,2_sigma_dist,3_sigma_dist
1936.0,1936.0,29.698484809834994,59.39696961966999,89.09545442950498
1936.0,1962.0,211.0473880435387,422.0947760870774,633.142164130616
1936.0,1963.0,114.93476410555685,229.8695282111137,344.80429231667057
1936.0,1976.0,86.58521813797087,173.17043627594174,259.7556544139126
1936.0,1978.0,54.230987451824994,108.46197490364999,162.69296235547498
1962.0,1962.0,296.98484809834997,593.9696961966999,890.9545442950499
1962.0,1963.0,238.47222060441337,476.94444120882673,715.4166618132401
1962.0,1976.0,226.17692189964916,452.3538437992983,678.5307656989474
1962.0,1978.0,215.87033144922904,431.7406628984581,647.6109943476871
1963.0,1963.0,159.80613254815975,319.6122650963195,479.4183976444792
1963.0,1976.0,140.80127840328723,281.60255680657446,422.40383520986165
1963.0,1978.0,123.5677951571525,247.135590314305,370.7033854714575
1976.0,1976.0,118.79393923933998,237.58787847867995,356.38181771801993
1976.0,1978.0,97.75479527879949,195.50959055759898,293.26438583639845
