year_1,year_2,sigma_dist,2_sigma_dist,3_sigma_dist
1936.0,1936.0,29.698484809834994,59.39696961966999,89.09545442950498
1936.0,1962.0,499.44168828803225,998.8833765760645,1498.3250648640967
1936.0,1963.0,215.02790516581794,430.0558103316359,645.0837154974538
1936.0,1976.0,97.29337079164233,194.58674158328466,291.88011237492697
1936.0,1978.0,100.22474744293447,200.44949488586894,300.6742423288034
1962.0,1962.0,705.6925676241744,1411.385135248349,2117.0777028725233
1962.0,1963.0,542.9521157523931,1085.9042315047861,1628.856347257179
1962.0,1976.0,507.96259704824723,1015.9251940964945,1523.8877911447416
1962.0,1978.0,508.53220153693314,1017.0644030738663,1525.5966046107994
1963.0,1963.0,302.64170234784234,605.2834046956847,907.9251070435271
1963.0,1976.0,234.138847695123,468.277695390246,702.416543085369
1963.0,1978.0,235.3720459187964,470.7440918375928,706.1161377563892
1976.0,1976.0,134.35028842544403,268.70057685088807,403.0508652763321
1976.0,1978.0,136.48809471891678,272.97618943783357,409.46428415675035
